DATAFLOW,LAST UPDATE,freq,tra_infr,n_tracks,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,IT,2016,16788,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,IT,2017,16787,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,IT,2018,16781,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,IT,2019,16779,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,IT,2020,16782,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,IT,2021,16832,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,IT,2022,16829,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LT,2011,1767.600,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LT,2012,1767.600,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LT,2013,1767.600,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LT,2014,1767.600,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LT,2015,1877.200,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LT,2016,1911.300,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LT,2017,1911.300,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LT,2018,1910.700,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LT,2019,1910.700,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LT,2020,1910.800,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LT,2021,1910.800,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LT,2022,1919.200,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LU,2011,275,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LU,2012,275,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LU,2013,275,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LU,2014,275,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LU,2015,275,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LU,2016,275,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LU,2017,263,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LU,2018,263,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LU,2019,263,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LU,2020,263,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LU,2021,271,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LU,2022,271,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LV,2011,1865,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LV,2012,1859,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LV,2013,1859,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LV,2014,1860,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LV,2015,1860,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LV,2016,1859.600,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LV,2017,1859.600,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LV,2018,1859.600,
ESTAT:TTR00003(1.0),19/12/23 23:00:00,A,TOTAL,TOTAL,KM,LV,2019,1859.600,
