DATAFLOW,LAST UPDATE,freq,unit,accident,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HR,2010,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HR,2011,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HR,2012,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HR,2013,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HR,2014,2,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HR,2015,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HU,2004,5,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HU,2005,4,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HU,2006,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HU,2007,2,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HU,2008,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HU,2009,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HU,2010,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HU,2011,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HU,2012,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HU,2013,3,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HU,2014,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,HU,2015,4,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IE,2004,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IE,2005,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IE,2006,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IE,2007,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IE,2008,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IE,2009,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IE,2010,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IE,2011,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IE,2012,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IE,2013,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IE,2014,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IE,2015,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IT,2004,6,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IT,2005,5,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IT,2006,7,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IT,2007,5,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IT,2008,2,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IT,2009,8,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IT,2010,3,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IT,2011,6,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IT,2012,7,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IT,2013,5,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IT,2014,11,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,IT,2015,8,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LT,2004,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LT,2005,3,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LT,2006,4,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LT,2007,6,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LT,2008,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LT,2009,4,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LT,2010,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LT,2011,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LT,2012,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LT,2013,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LT,2014,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LT,2015,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LT,2016,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LU,2004,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LU,2005,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LU,2006,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LU,2007,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LU,2008,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LU,2009,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LU,2010,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LU,2011,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LU,2012,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LU,2013,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LU,2014,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LU,2015,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LV,2004,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LV,2005,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LV,2006,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LV,2007,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LV,2008,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LV,2009,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LV,2010,1,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LV,2011,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LV,2012,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LV,2013,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LV,2014,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,LV,2015,0,
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,MT,2004,,z
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,MT,2005,,z
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,MT,2006,,z
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,MT,2007,,z
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,MT,2008,,z
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,MT,2009,,z
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,MT,2010,,z
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,MT,2011,,z
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,MT,2012,,z
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,MT,2013,,z
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,MT,2014,,z
ESTAT:RAIL_AC_CATNMBR(1.0),18/03/19 23:00:00,A,NR,COLLIS,MT,2015,,z
